GameLabel,InitialReleaseDate,Genres
Left 4 Dead 2,2009-11-17T00:00:00Z,"first-person shooter, survival horror, post-apocalyptic video game"
Half-Life 2: Episode One,2006-06-01T00:00:00Z,"first-person shooter, science fiction video game"
Counter-Strike: Global Offensive,2012-08-21T00:00:00Z,"first-person shooter, action game"
Day of Defeat: Source,2005-09-26T00:00:00Z,first-person shooter
Counter-Strike Neo,2005-10-27T00:00:00Z,"first-person shooter, arcade video game machine"
Half-Life 2: Episode Two,2007-10-10T00:00:00Z,"first-person shooter, science fiction video game"
Dota 2,2013-07-09T00:00:00Z,"real-time strategy, action game, multiplayer online battle arena"
Half-Life 2: Lost Coast,2005-10-27T00:00:00Z,first-person shooter
Counter-Strike: Source,2004-11-01T00:00:00Z,"first-person shooter, tactical shooter"
Portal,2007-10-10T00:00:00Z,"science fiction, puzzle video game, first-person shooter, science fiction video game"
Day of Defeat,2003-05-01T00:00:00Z,first-person shooter
Half-Life: Source,2004-06-01T00:00:00Z,first-person shooter
Half-Life 2: Survivor,2006-06-28T00:00:00Z,first-person shooter
Half-Life: Decay,2001-11-14T00:00:00Z,"first-person shooter, science fiction video game"
Counter-Strike: Condition Zero,2004-03-23T00:00:00Z,first-person shooter
Counter-Strike,1999-06-19T00:00:00Z,"first-person shooter, tactical shooter"
Half-Life: Blue Shift,2001-06-12T00:00:00Z,"first-person shooter, science fiction video game"
Counter-Strike Online,2008-07-24T00:00:00Z,first-person shooter
Deathmatch Classic,2001-06-01T00:00:00Z,first-person shooter
Ricochet,2000-11-01T00:00:00Z,first-person shooter
Alien Swarm,2010-07-19T00:00:00Z,"science fiction video game, shooter game"
Half-Life 2: Deathmatch,2004-11-30T00:00:00Z,first-person shooter
Team Fortress Classic,1999-04-07T00:00:00Z,first-person shooter
Half-Life 2,2004-11-16T00:00:00Z,"first-person shooter, science fiction video game, post-apocalyptic video game"
The Lab,2016-04-05T00:00:00Z,action game
Half-Life Deathmatch: Source,2006-05-01T00:00:00Z,action game
Artifact,2018-11-29T00:00:00Z,collectible card video game
Half-Life: Alyx,2020-03-23T00:00:00Z,first-person shooter
Dota Underlords,2019-06-20T00:00:00Z,"strategy video game, auto battler"
Left 4 Dead,2008-11-17T00:00:00Z,"first-person shooter, survival horror, post-apocalyptic video game"
Portal 2,2011-04-18T00:00:00Z,"puzzle video game, first-person shooter, science fiction video game, post-apocalyptic video game"
Counter-Strike 2,2023-09-27T00:00:00Z,first-person shooter
Counter-Strike Xbox Edition,2003-11-18T00:00:00Z,first-person shooter
Aperture Desk Job,2022-03-01T00:00:00Z,action game
Half-Life,1998-11-19T00:00:00Z,"first-person shooter, science fiction video game"
Team Fortress 2,2007-10-10T00:00:00Z,first-person shooter
